poll_id,pollster,candidate_name,pct,party,start_date,end_date,sample_size
85578,YouGov,Joe Biden,43,Democratic,1-07-24,2024-01-09,1417
85578,YouGov,Donald Trump,43,Republican,1-07-24,2024-01-09,1417
85608,YouGov,Joe Biden,48,Democratic,1-10-24,2024-01-12,1906
85608,YouGov,Donald Trump,50,Republican,1-10-24,2024-01-12,1906
85608,YouGov,Joe Biden,48,Democratic,1-10-24,2024-01-12,1906
85608,YouGov,Ron DeSantis,51,Republican,1-10-24,2024-01-12,1906
85608,YouGov,Joe Biden,45,Democratic,1-10-24,2024-01-12,1906
85608,YouGov,Nikki Haley,53,Republican,1-10-24,2024-01-12,1906
82001,YouGov,Joe Biden,46,Democratic,1-12-23,2023-01-16,1028
82001,YouGov,Donald Trump,40,Republican,1-12-23,2023-01-16,1028
82001,YouGov,Joe Biden,44,Democratic,1-12-23,2023-01-16,1028
82001,YouGov,Ron DeSantis,42,Republican,1-12-23,2023-01-16,1028
82129,YouGov,Joe Biden,43,Democratic,2-02-23,2023-02-06,1063
82129,YouGov,Ron DeSantis,44,Republican,2-02-23,2023-02-06,1063
82129,YouGov,Joe Biden,47,Democratic,2-02-23,2023-02-06,1063
82129,YouGov,Donald Trump,41,Republican,2-02-23,2023-02-06,1063
86065,YouGov,Joe Biden,36,Democratic,2-02-24,2024-02-12,1200
86065,YouGov,Donald Trump,45,Republican,2-02-24,2024-02-12,1200
86065,YouGov,Robert F. Kennedy,6,IND,2-02-24,2024-02-12,1200
86065,YouGov,Cornel West,3,IND,2-02-24,2024-02-12,1200
86065,YouGov,Jill Stein,2,GRE,2-02-24,2024-02-12,1200
86065,YouGov,Joe Biden,41,Democratic,2-02-24,2024-02-12,1200
86065,YouGov,Donald Trump,48,Republican,2-02-24,2024-02-12,1200
86065,YouGov,Joe Biden,40,Democratic,2-02-24,2024-02-12,1200
86065,YouGov,Nikki Haley,31,Republican,2-02-24,2024-02-12,1200
85859,YouGov,Joe Biden,43,Democratic,2-04-24,2024-02-06,1399
85859,YouGov,Donald Trump,44,Republican,2-04-24,2024-02-06,1399
85913,YouGov,Joe Biden,44,Democratic,2-06-24,2024-02-09,869
85913,YouGov,Donald Trump,45,Republican,2-06-24,2024-02-09,869
85938,YouGov,Joe Biden,44,Democratic,2-11-24,2024-02-13,1470
85938,YouGov,Donald Trump,44,Republican,2-11-24,2024-02-13,1470
86297,YouGov,Joe Biden,42,Democratic,3-03-24,2024-03-05,1450
86297,YouGov,Donald Trump,44,Republican,3-03-24,2024-03-05,1450
86297,YouGov,Joe Biden,37,Democratic,3-03-24,2024-03-05,1450
86297,YouGov,Nikki Haley,34,Republican,3-03-24,2024-03-05,1450
86457,YouGov,Joe Biden,48,Democratic,3-04-24,2024-03-11,1126
86457,YouGov,Donald Trump,51,Republican,3-04-24,2024-03-11,1126
86459,YouGov,Joe Biden,44,Democratic,3-08-24,2024-03-11,990
86459,YouGov,Donald Trump,46,Republican,3-08-24,2024-03-11,990
86459,YouGov,Joe Biden,41,Democratic,3-08-24,2024-03-11,992
86459,YouGov,Donald Trump,43,Republican,3-08-24,2024-03-11,992
78574,YouGov,Joe Biden,41,Democratic,3-10-22,2022-03-14,1623
78574,YouGov,Donald Trump,37,Republican,3-10-22,2022-03-14,1623
78574,YouGov,Joe Biden,47,Democratic,3-10-22,2022-03-14,1225
78574,YouGov,Donald Trump,39,Republican,3-10-22,2022-03-14,1225
86463,YouGov,Joe Biden,42,Democratic,3-10-24,2024-03-12,1367
86463,YouGov,Donald Trump,44,Republican,3-10-24,2024-03-12,1367
78687,YouGov,Joe Biden,50.13,Democratic,3-11-22,2022-03-21,2000
78687,YouGov,Donald Trump,49.82,Republican,3-11-22,2022-03-21,2000
82534,YouGov,Joe Biden,38,Democratic,4-01-23,2023-04-04,1500
82534,YouGov,Donald Trump,40,Republican,4-01-23,2023-04-04,1500
82534,YouGov,Joe Biden,42,Democratic,4-01-23,2023-04-04,1319
82534,YouGov,Donald Trump,44,Republican,4-01-23,2023-04-04,1319
82550,YouGov,Joe Biden,39,Democratic,4-04-23,2023-04-06,1000
82550,YouGov,Donald Trump,37,Republican,4-04-23,2023-04-06,1000
86631,YouGov,Joe Biden,42,Democratic,4-06-24,2024-04-09,1583
86631,YouGov,Donald Trump,43,Republican,4-06-24,2024-04-09,1583
86631,YouGov,Robert F. Kennedy,3,IND,4-06-24,2024-04-09,1583
86631,YouGov,Cornel West,1,IND,4-06-24,2024-04-09,1583
86631,YouGov,Jill Stein,0,GRE,4-06-24,2024-04-09,1583
82590,YouGov,Joe Biden,39,Democratic,4-08-23,2023-04-11,1500
82590,YouGov,Donald Trump,39,Republican,4-08-23,2023-04-11,1500
82590,YouGov,Joe Biden,43,Democratic,4-08-23,2023-04-11,1322
82590,YouGov,Donald Trump,44,Republican,4-08-23,2023-04-11,1322
86683,YouGov,Joe Biden,44,Democratic,4-11-24,2024-04-15,1171
86683,YouGov,Donald Trump,44,Republican,4-11-24,2024-04-15,1171
86683,YouGov,Joe Biden,42,Democratic,4-11-24,2024-04-15,1171
86683,YouGov,Donald Trump,42,Republican,4-11-24,2024-04-15,1171
86775,YouGov,Joe Biden,36,Democratic,4-12-24,2024-04-22,1200
86775,YouGov,Donald Trump,45,Republican,4-12-24,2024-04-22,1200
86775,YouGov,Robert F. Kennedy,8,IND,4-12-24,2024-04-22,1200
86775,YouGov,Cornel West,2,IND,4-12-24,2024-04-22,1200
86775,YouGov,Jill Stein,2,GRE,4-12-24,2024-04-22,1200
86775,YouGov,Joe Biden,40,Democratic,4-12-24,2024-04-22,1200
86775,YouGov,Donald Trump,48,Republican,4-12-24,2024-04-22,1200
82786,YouGov,Joe Biden,45,Democratic,5-05-23,2023-05-08,1060
82786,YouGov,Donald Trump,43,Republican,5-05-23,2023-05-08,1060
82786,YouGov,Joe Biden,45,Democratic,5-05-23,2023-05-08,1057
82786,YouGov,Ron DeSantis,42,Republican,5-05-23,2023-05-08,1057
86876,YouGov,Joe Biden,43,Democratic,5-05-24,2024-05-07,1598
86876,YouGov,Donald Trump,43,Republican,5-05-24,2024-05-07,1598
86876,YouGov,Robert F. Kennedy,3,IND,5-05-24,2024-05-07,1598
86876,YouGov,Cornel West,1,IND,5-05-24,2024-05-07,1598
86876,YouGov,Jill Stein,1,GRE,5-05-24,2024-05-07,1598
86963,YouGov,Joe Biden,45,Democratic,5-10-24,2024-05-16,1181
86963,YouGov,Donald Trump,54,Republican,5-10-24,2024-05-16,1181
86963,YouGov,Joe Biden,36,Democratic,5-10-24,2024-05-16,1174
86963,YouGov,Donald Trump,49,Republican,5-10-24,2024-05-16,1174
86963,YouGov,Jill Stein,3,GRE,5-10-24,2024-05-16,1174
86964,YouGov,Joe Biden,47,Democratic,5-10-24,2024-05-16,1193
86964,YouGov,Donald Trump,52,Republican,5-10-24,2024-05-16,1193
86964,YouGov,Joe Biden,40,Democratic,5-10-24,2024-05-16,1192
86964,YouGov,Donald Trump,44,Republican,5-10-24,2024-05-16,1192
86964,YouGov,Jill Stein,5,GRE,5-10-24,2024-05-16,1192
86947,YouGov,Joe Biden,45,Democratic,5-10-24,2024-05-13,1201
86947,YouGov,Donald Trump,45,Republican,5-10-24,2024-05-13,1201
86947,YouGov,Joe Biden,43,Democratic,5-10-24,2024-05-13,1201
